Wall time,Step,Value
1733784060.9688168,42,5.940959930419922
1733784063.2626014,45,6.0206804275512695
1733784083.2296553,71,5.900171756744385
1733784101.0194478,94,5.566957950592041
1733784150.6821241,158,5.519367694854736
1733784157.6531126,167,5.616300582885742
1733784207.4929645,229,5.601876258850098
1733784211.3784285,234,5.210726261138916
1733784227.6885655,255,5.36561393737793
1733784241.6787834,273,5.432669162750244
1733784268.913594,308,5.17074728012085
1733784270.4713938,310,5.3515520095825195
1733784276.6955352,318,5.3899054527282715
1733784358.6217163,421,5.3712944984436035
1733784389.050108,460,5.205293655395508
1733784399.9699788,474,5.314940452575684
1733784448.2955844,536,5.011259078979492
1733784481.799555,579,5.033029079437256
1733784487.2595549,586,4.998471260070801
1733784526.434428,634,5.039715766906738
1733784536.5860999,647,5.077456474304199
1733784555.2935662,671,5.107203960418701
1733784588.8386705,714,5.259649753570557
1733784595.0726187,722,4.6451239585876465
1733784633.3591616,771,4.870519161224365
1733784644.3207674,785,5.14445686340332
1733784657.6299438,802,4.7808837890625
1733784662.3290486,808,5.235151290893555
1733784685.8440661,836,4.377472877502441
1733784791.6051016,971,4.621832847595215
1733784825.449315,1014,4.8747382164001465
1733784867.3968663,1066,4.8633222579956055
1733784897.211266,1104,4.681457042694092
1733784956.9596534,1180,4.596197128295898
1733785021.7764664,1261,4.687701225280762
1733785064.9354007,1316,4.313204288482666
1733785067.3008993,1319,4.47830057144165
1733785078.2930324,1333,4.730950355529785
1733785081.4193203,1337,4.500048637390137
1733785118.9737833,1385,4.727994918823242
1733785124.4404695,1392,4.319770812988281
1733785160.0676136,1436,4.266793251037598
1733785183.4029665,1466,4.150497913360596
1733785227.6329885,1523,4.34219217300415
1733785250.1163855,1552,4.38728141784668
1733785262.5231469,1568,4.118371963500977
1733785274.9274454,1584,4.4339189529418945
1733785319.465018,1640,4.167631149291992
1733785358.9270518,1691,4.024808406829834
1733785372.8363667,1709,4.281821250915527
1733785379.7990787,1718,4.241358757019043
1733785392.1858437,1734,3.876171588897705
1733785394.502763,1737,4.104437351226807
1733785428.5138252,1781,4.174148082733154
1733785477.094091,1844,4.127048492431641
1733785495.0743573,1866,3.4965829849243164
1733785497.405176,1869,4.005181789398193
1733785503.5687053,1877,3.9096813201904297
1733785534.4504461,1917,3.974689483642578
1733785547.5694096,1934,3.966923952102661
1733785557.639658,1947,4.032793998718262
1733785626.370964,2036,4.064443111419678
1733785673.7388206,2096,3.894306182861328
1733785743.988281,2187,3.66929030418396
1733785753.2591815,2199,3.744321823120117
1733785777.9515014,2231,3.8557229042053223
1733785782.5770156,2237,3.9795656204223633
1733785799.2189822,2257,3.46372652053833
1733785803.0841722,2262,3.6314878463745117
1733785837.8188796,2307,3.655890941619873
1733785847.062042,2319,3.3754096031188965
1733785901.0971231,2389,3.5927953720092773
1733785937.3490705,2436,3.805832862854004
1733785950.4422069,2453,3.6354901790618896
1733785951.9895656,2455,3.7000465393066406
1733785956.7859886,2460,3.3786582946777344
1733785976.0306828,2485,3.3234496116638184
1733785976.804677,2486,3.278186082839966
1733785986.0583894,2498,3.3968777656555176
1733785989.9137447,2503,3.5291428565979004
1733786012.241284,2532,3.561464786529541
1733786023.7857249,2547,3.3270211219787598
1733786028.4044695,2553,3.42948317527771
1733786130.9972343,2685,3.4202606678009033
1733786173.3238347,2740,3.2481484413146973
1733786211.0381956,2789,3.270799160003662
1733786294.2923725,2896,3.102623462677002
1733786348.8706167,2967,2.9019017219543457
1733786403.4603462,3038,3.170538902282715
1733786405.7769485,3041,3.3789196014404297
